pitcher_id,player,mean_arm_angle
606930,"Barnes, Jacob",42.215753424657535
606965,"Devenski, Chris",37.79795081967213
606996,"Hart, Kyle",34.76011131725418
607067,"Rea, Colin",30.454869251577996
607074,"Rodón, Carlos",44.381128747795415
607179,"Weems, Jordan",49.24081632653061
607192,"Glasnow, Tyler",56.02681415929204
607200,"Fedde, Erick",35.074018264840184
607259,"Martinez, Nick",57.85113215314944
607455,"Banda, Anthony",34.443782117163416
607481,"Bummer, Aaron",10.7137339055794
607536,"Freeland, Kyle",28.36994408201305
607625,"Lugo, Seth",31.638361344537817
607732,"Stallings, Jacob",19.534615384615385
608032,"Estévez, Carlos",41.67254901960784
608331,"Fried, Max",46.16690036900369
608334,"Fulmer, Carson",34.97852494577007
608337,"Giolito, Lucas",51.895415617128464
